MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,dewpoint_temperature_2m,lake_ice_depth,skin_reservoir_content,skin_temperature,snow_albedo,snow_depth,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,surface_latent_heat_flux_sum,surface_pressure,surface_solar_radiation_downwards_sum,temperature_2m,total_precipitation_sum,u_component_of_wind_10m,v_component_of_wind_10m
Canada,Canada,Teslin,60.44943,-133.52016,2004,100.0,268.2927801838903,0.5376923680305481,0.00018891981108676534,271.6742750275382,0.7580361398052277,0.31682642951361534,276.11302773553797,275.94138349260135,275.5743574306784,275.32931287898737,-60241356.666666664,91050.44943000912,328184459.15596515,272.8993681700853,0.04655013566530849,-0.14254768331644244,0.36959657030772425
Canada,Canada,Teslin,60.44943,-133.52016,2005,100.0,268.38313554711544,0.505077064037323,0.00019960559015694,271.21059939840137,0.7506290760722293,0.3598149440418353,275.9938775040302,275.9234670082402,275.81139928576766,275.75169958566556,-57897983.833333336,90945.61139652833,314373233.1982422,272.56671068540993,0.04541828594859373,-0.22351146817619352,0.44473993911293913
Canada,Canada,Teslin,60.44943,-133.52016,2006,100.0,265.5206448208047,0.5904703736305237,0.00018783968772067108,268.44682449636895,0.7582315537827397,0.2981819958873201,274.5352966866003,274.5289801003685,274.65483750617017,274.7688534395547,-53164572.166666664,90957.51083902705,305266275.2063802,269.6459863735967,0.04822008228470054,-0.09791675189754462,0.45061462893560694
Canada,Canada,Teslin,60.44943,-133.52016,2007,100.0,266.7698402636489,0.5900765061378479,0.000226431180061596,269.57228426822195,0.7639656371967768,0.38896166620288697,275.1212673427709,274.92606198543535,274.3943450562029,273.97740571429694,-52981231.166666664,90885.87100389945,308788825.33658725,270.6950685500163,0.05032750930516331,-0.19054891737141408,0.3723456374292468
Canada,Canada,Teslin,60.44943,-133.52016,2008,100.0,266.01122020907985,0.5817164182662964,0.00021324709927779002,268.6636080504259,0.7569691560282447,0.37815769692018913,275.2554141660814,275.17979306806933,275.02433388477465,274.9295354022205,-53964732.833333336,90941.51517393881,304217655.15305585,269.928872096651,0.05265221618486571,-0.11143271091699121,0.5176218495055919
Canada,Canada,Teslin,60.44943,-133.52016,2009,100.0,265.9803668933916,0.6019378304481506,0.00021463712870649948,269.5182457883645,0.7816359157773044,0.4314105537650243,276.1879572829282,276.09951622816135,275.93131858844725,275.79930574467494,-53154793.333333336,91073.98227972632,328330160.6454875,270.73161935883587,0.04434439716872488,-0.1477106178273803,0.3232689585513193
Alaska,Alaska Interior,Chevak,61.52786,-165.61778,2004,98.0,270.47307521540876,0.3923220634460449,8.784583530510056e-05,273.1769290681224,0.7536764313582069,0.16168775491286616,276.85298690567623,276.6806110369645,276.3362829295067,276.1505622247572,-62410611.0,100823.32061429827,267684558.32263184,273.3132682689949,0.05660899564938848,-1.1060243823553535,-0.587216145267854
Alaska,Alaska Interior,Chevak,61.52786,-165.61778,2005,77.0,269.31088054727456,0.4349725842475891,9.413634214367775e-05,271.94777675066854,0.7515837878899315,0.253333002374652,275.9812471982948,275.94830304983026,275.9889607736612,275.9935601855773,-59784946.166666664,100819.10261676642,281476538.3649089,272.02979300028227,0.05812242490307421,-0.3729530496249062,-1.3444656421796803
Alaska,Alaska Interior,Chevak,61.52786,-165.61778,2006,75.0,268.5351259293664,0.5044264197349548,0.00010039189623461828,270.807946374315,0.7610544572044993,0.24791935277607766,274.9749782444491,274.80466626980416,274.42021984116053,274.21934222031587,-46407505.666666664,100930.72574078075,267743882.37304688,271.1236464511333,0.048151564262004364,0.014938357808643193,-1.1312618211832424
Alaska,Alaska Interior,Chevak,61.52786,-165.61778,2007,79.0,269.9298267746607,0.40917009115219116,9.69511348856535e-05,272.34360969450756,0.7518940009055924,0.1773638465986823,275.8187266051637,275.6909680810922,275.45839110619175,275.20518396814686,-59681691.0,100813.6102525447,271543388.00325394,272.53432374516126,0.056095798473839054,-0.579602549876811,-1.0671882183885668
