MainRegion,Region,Location,Latitude,Longitude,Year,ALT_Max,NDVI,EVI
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2010,145.0,2693.2727272727275,1226.0
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2011,144.0,2880.818181818182,1317.0
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2012,147.0,2434.909090909091,1165.590909090909
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2013,152.0,2793.7272727272725,1317.3636363636363
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2014,152.0,2600.1363636363635,1300.7272727272727
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2015,155.0,2616.7727272727275,1332.0
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2016,148.0,2422.7272727272725,1227.3636363636363
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2017,148.0,2357.7272727272725,1200.0454545454545
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2018,144.0,2506.681818181818,1259.8636363636363
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2019,146.0,2362.6363636363635,1185.5
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2020,153.0,2386.0454545454545,1219.5
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2021,157.0,2343.8636363636365,1205.3636363636363
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2022,158.0,2501.5454545454545,1262.5
Russia,Central Siberia,Neleger (Yakutsk region),62.31618,129.49952,2023,145.0,2611.5,1360.2727272727273
Canada,Canada,Beaver_Creek,62.3377,-140.83835,2010,61.0,2787.0454545454545,1317.9545454545455
Canada,Canada,Beaver_Creek,62.3377,-140.83835,2011,69.0,2869.318181818182,1349.1363636363637
Canada,Canada,Beaver_Creek,62.3377,-140.83835,2012,62.0,2914.5454545454545,1383.7272727272727
Canada,Canada,Beaver_Creek,62.3377,-140.83835,2013,85.0,3027.6363636363635,1473.6818181818182
Canada,Canada,Beaver_Creek,62.3377,-140.83835,2014,85.0,2713.318181818182,1316.590909090909
Alaska,Alaska Interior,Tanada_Muskeg,62.51667,-143.3667,2009,112.0,2819.090909090909,1465.5
Alaska,Alaska Interior,Tanada_Muskeg,62.51667,-143.3667,2010,110.0,2984.9545454545455,1609.7727272727273
Alaska,Alaska Interior,Tanada_Muskeg,62.51667,-143.3667,2011,110.373388203018,2940.090909090909,1564.4545454545455
Alaska,Alaska Interior,Tanada_Muskeg,62.51667,-143.3667,2012,111.559945130315,3094.409090909091,1681.3181818181818
Alaska,Alaska Interior,Tanada_Muskeg,62.51667,-143.3667,2013,113.659259259259,2584.7272727272725,1308.6363636363637
Alaska,Alaska Interior,Tanada_Muskeg,62.51667,-143.3667,2014,116.770919067215,2862.909090909091,1493.0454545454545
Alaska,Alaska Interior,Tanada_Muskeg,62.51667,-143.3667,2015,120.99451303155,3005.7272727272725,1530.3181818181818
Alaska,Alaska Interior,Tanada_Muskeg,62.51667,-143.3667,2016,126.42962962963,3268.818181818182,1692.0
Alaska,Alaska Interior,Tanada_Muskeg,62.51667,-143.3667,2017,133.17585733882,2912.7272727272725,1502.8636363636363
Alaska,Alaska Interior,Tanada_Muskeg,62.51667,-143.3667,2018,141.332784636488,2890.6363636363635,1487.2727272727273
Alaska,Alaska Interior,Tanada_Muskeg,62.51667,-143.3667,2019,151.0,3282.8636363636365,1706.7272727272727
Alaska,Alaska Interior,MentastaFen,62.55,-143.3667,2009,85.0,3123.7727272727275,1696.7272727272727
Alaska,Alaska Interior,MentastaFen,62.55,-143.3667,2010,87.0,3158.5454545454545,1750.2272727272727
Alaska,Alaska Interior,MentastaFen,62.55,-143.3667,2011,84.5,3064.090909090909,1669.5
Alaska,Alaska Interior,MentastaFen,62.55,-143.3667,2012,82.0,3137.090909090909,1769.5
Alaska,Alaska Interior,MentastaFen,62.55,-143.3667,2013,82.22351797862,2831.590909090909,1559.4545454545455
Alaska,Alaska Interior,MentastaFen,62.55,-143.3667,2014,83.0035633300939,3104.0454545454545,1654.2272727272727
Alaska,Alaska Interior,MentastaFen,62.55,-143.3667,2015,84.5043731778426,3423.181818181818,1799.7727272727273
Alaska,Alaska Interior,MentastaFen,62.55,-143.3667,2016,86.8901846452867,3725.4545454545455,1924.590909090909
Alaska,Alaska Interior,MentastaFen,62.55,-143.3667,2017,90.3252348558471,3214.9545454545455,1675.3636363636363
Alaska,Alaska Interior,MentastaFen,62.55,-143.3667,2018,94.9737609329446,3101.3636363636365,1579.2727272727273
Alaska,Alaska Interior,MentastaFen,62.55,-143.3667,2019,101.0,3321.0454545454545,1824.5454545454545
Alaska,Alaska Interior,Emmonak,62.78478,-164.52623,2009,100.0,2678.285714285714,1361.2380952380952
Alaska,Alaska Interior,Emmonak,62.78478,-164.52623,2010,100.0,2697.7619047619046,1426.904761904762
Alaska,Alaska Interior,Emmonak,62.78478,-164.52623,2011,100.0,2271.0,1307.6666666666667
Alaska,Alaska Interior,Emmonak,62.78478,-164.52623,2012,100.0,2575.7727272727275,1413.1818181818182
Alaska,Alaska Interior,Emmonak,62.78478,-164.52623,2013,100.0,2730.3333333333335,1483.2857142857142
Alaska,Alaska Interior,Emmonak,62.78478,-164.52623,2014,100.0,3020.090909090909,1593.0454545454545
Alaska,Alaska Interior,Emmonak,62.78478,-164.52623,2015,100.0,2862.1428571428573,1618.7142857142858
Alaska,Alaska Interior,Emmonak,62.78478,-164.52623,2016,100.0,3435.4761904761904,1668.0
Alaska,Alaska Interior,Kotlik,63.02131,-163.5607,2009,100.0,2730.1428571428573,1329.3333333333333
Alaska,Alaska Interior,Kotlik,63.02131,-163.5607,2010,100.0,2785.0,1348.857142857143
Alaska,Alaska Interior,Kotlik,63.02131,-163.5607,2011,100.0,2352.9523809523807,1180.7619047619048
Alaska,Alaska Interior,Kotlik,63.02131,-163.5607,2012,100.0,2748.9523809523807,1352.047619047619
Alaska,Alaska Interior,Kotlik,63.02131,-163.5607,2013,100.0,2701.5714285714284,1371.5714285714287
Alaska,Alaska Interior,Kotlik,63.02131,-163.5607,2014,100.0,2985.714285714286,1349.047619047619
Alaska,Alaska Interior,Kotlik,63.02131,-163.5607,2015,98.25,2650.3809523809523,1339.6190476190477
Alaska,Alaska Interior,Kotlik,63.02131,-163.5607,2016,94.0,3500.8571428571427,1623.3809523809523
Canada,Canada,Dawson,63.94054,-138.59157,2009,39.0,3569.6666666666665,1542.142857142857
Canada,Canada,Dawson,63.94054,-138.59157,2010,58.0,3627.809523809524,1633.0
Canada,Canada,Dawson,63.94054,-138.59157,2011,70.0,3660.1428571428573,1645.6666666666667
Canada,Canada,Dawson,63.94054,-138.59157,2012,59.0,4051.55,1911.35
Canada,Canada,Dawson,63.94054,-138.59157,2013,74.0,3699.9523809523807,1816.095238095238
Canada,Canada,Dawson,63.94054,-138.59157,2014,74.0,3736.4761904761904,1711.1904761904761
Alaska,Alaska Interior,Nenana,64.55446,-149.08339,2010,98.0,2950.85,1573.2
Alaska,Alaska Interior,Nenana,64.55446,-149.08339,2011,89.0,2722.6,1470.45
Alaska,Alaska Interior,Nenana,64.55446,-149.08339,2012,97.0,2737.7,1480.85
Alaska,Alaska Interior,Nenana,64.55446,-149.08339,2013,103.0,2629.05,1456.5
Alaska,Alaska Interior,Nenana,64.55446,-149.08339,2014,103.0,2625.5,1407.25
Alaska,Alaska Interior,Nenana,64.55446,-149.08339,2015,93.0,2843.55,1529.85
Alaska,Alaska Interior,Nenana,64.55446,-149.08339,2016,94.0,3200.7,1680.2
Russia,Chukotka,"Mt. Dionisy, Chukotka",64.56667,177.2,1996,78.0,,
Russia,Chukotka,"Mt. Dionisy, Chukotka",64.56667,177.2,1997,82.0,,
Russia,Chukotka,"Mt. Dionisy, Chukotka",64.56667,177.2,1998,75.0,,
Russia,Chukotka,"Mt. Dionisy, Chukotka",64.56667,177.2,1999,85.0,,
Russia,Chukotka,"Mt. Dionisy, Chukotka",64.56667,177.2,2000,83.0,2268.722222222222,1264.5
Russia,Chukotka,"Mt. Dionisy, Chukotka",64.56667,177.2,2001,77.0,1570.95,784.75
Russia,Chukotka,"Mt. Dionisy, Chukotka",64.56667,177.2,2002,82.0,2000.55,1042.35
Russia,Chukotka,"Mt. Dionisy, Chukotka",64.56667,177.2,2003,90.0,2115.1,1111.25
Russia,Chukotka,"Mt. Dionisy, Chukotka",64.56667,177.2,2004,95.0,2114.8,1090.4
Russia,Chukotka,"Mt. Dionisy, Chukotka",64.56667,177.2,2005,96.0,2319.05,1267.6
Russia,Chukotka,"Mt. Dionisy, Chukotka",64.56667,177.2,2006,98.8409090909091,2166.85,1180.65
